Super Will Limited,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Client,NALUYIMA,Loading Date,,,4/15/2025,,,Container No.,,,TGBU9257280,,,,,,,,,,,
Shop No.,Descriptions Of Goods,Ctns,Qty/Ctn,,Unit Price,,Amount,Sub Amount,Deposit,Balance,CBM,Weight(Kg),G.W(Kg),,,,,,,,,
D3-7995,Y81-750 STEEL BOTTLE,2,50,PCS,25.5,/PC,2550,22115,0,22115,0,20,40,,,,,,,,,
,KF21-450 STEEL BOTTLE,2,50,PCS,16.5,/PC,1650,,,,,16,32,,,,,,,,,
,KF17-600 STEEL BOTTLE,2,50,PCS,17,/PC,1700,,,,,16,32,,,,,,,,,
,KF-500 STEEL BOTTLE,2,50,PCS,20.5,/PC,2050,,,,,16,32,,,,,,,,,
,SB08 STEEL BOTTLE,2,50,PCS,21,/PC,2100,,,,,20,40,,,,,,,,,
,MK-1000 PLASTIC BOTTLE,2,80,PCS,7,/PC,1120,,,,,14,28,,,,,,,,,
,YF-1000 PLASTIC BOTTLE,2,80,PCS,8.5,/PC,1360,,,,,14,28,,,,,,,,,
,MK-1000 PLASTIC BOTTLE COLOR,2,80,PCS,7.5,/PC,1200,,,,,14,28,,,,,,,,, 
,XLB-1000 STEEL BOTTLE,2,40,PCS,23,/PC,1840,,,,,20,40,,,,,,,,,
,JK88-1100 STEEL BOTTLE,1,30,PCS,25.5,/PC,765,,,,,20,20,,,,,,,,,
,JK88-750 STEEL BOTTLE,1,30,PCS,23.5,/PC,705,,,,,18,18,,,,,,,,,
,SDLCUP-LL STEEL BOTTLE,1,15,PCS,67,/PC,1005,,,,,16,16,,,,,,,,,
,ACCESSORY,1,1000,PCS,1.25,/PC,1250,,,,,20,20,,,,,,,,,
,SDLCUP-1200 STEEL BOTTLE,1,20,PCS,36,/PC,720,,,,,16,16,,,,,,,,,
,JK03-600 STEEL BOTTLE,1,30,PCS,22,/PC,660,,,,,14,14,,,,,,,,,
,JK03-750 STEEL BOTTLE,1,30,PCS,23,/PC,690,,,,,17,17,,,,,,,,,
,JK03-1100 STEEL BOTTLE,1,30,PCS,25,/PC,750,,,,,20,20,,,,,,,,,
34145,10PCS BABY SET,2,50,SETS,30,/SET,3000,7598,0,7598,0,34.2,68.4,,,,,,,,,
,320ML FEEDING BOTTLE SET,1,40,SETS,11.4,/SET,456,,,,,9.2,9.2,,,,,,,,,
,240ML FEEDING BOTTLE SET,1,60,SETS,10.8,/SET,648,,,,,12,12,,,,,,,,,
,145-4 CLEANING BRUSH,1,300,PCS,1.3,/PC,390,,,,,8,8,,,,,,,,,
,AB-8005 FEEDING BOTTLE SET,2,40,SETS,7,/SET,560,,,,,9,18,,,,,,,,,
,SMALL FEEDING BOTTLE SET,2,80,SETS,5.4,/SET,864,,,,,9.3,18.6,,,,,,,,,
,240ML FEEDING BOTTLE SET,3,40,SETS,7,/SET,840,,,,,8.7,26.1,,,,,,,,,
,7PCS BABAY+CLIPS,2,60,SETS,7,/SET,840,,,,,12,24,,,,,,,,,
Client,NALUYIMA,Loading Date,,,4/15/2025,,,Container No.,,,TGBU9257280,,,,,,,,,,,
Shop No.,Descriptions Of Goods,Ctns,Qty/Ctn,,Unit Price,,Amount,Sub Amount,Deposit,Balance,CBM,Weight(Kg),G.W(Kg),,,,,,,,,
F3-16944,7032 STEEL BOTTLE,2,24,PCS,29,/PC,1392,10548,0,10548,0,15.82,31.64,,,,,,,,,
,7042 STEEL BOTTLE,2,36,PCS,23,/PC,1656,,,,,18.92,37.84,,,,,,,,,
,7021 STEEL BOTTLE,2,24,PCS,36.5,/PC,1752,,,,,13.56,27.12,,,,,,,,,
,7651 STEEL BOTTLE,2,24,PCS,32.5,/PC,1560,,,,,14.72,29.44,,,,,,,,,
,7711 STEEL BOTTLE,2,12,PCS,39.5,/PC,948,,,,,10.86,21.72,,,,,,,,,
,7079 STEEL BOTTLE,2,24,PCS,35,/PC,1680,,,,,20.26,40.52,,,,,,,,,
,7078 STEEL BOTTLE,2,24,PCS,32.5,/PC,1560,,,,,17.38,34.76,,,,,,,,,
F3-16540,96P-2318 WATER SET,1,48,PCS,9.5,/PC,456,4682,0,4682,0,22.5,22.5,,,,,,,,,
,7751 GLASS BOTTLE,3,60,PCS,4.2,/PC,756,,,,,23.4,70.2,,,,,,,,,
,1B-9028 PLASTIC BOTTLE,3,80,PCS,5.8,/PC,1392,,,,,13.3,39.9,,,,,,,,,
,1B-9027 PLASTIC BOTTLE,3,80,PCS,5.8,/PC,1392,,,,,12.3,36.9,,,,,,,,,
,1689 BABY BOTTLE,1,140,PCS,2.5,/PC,350,,,,,14.5,14.5,,,,,,,,,
,1682 BABY BOTTLE,1,160,PCS,2.1,/PC,336,,,,,10.2,10.2,,,,,,,,,
F3-16484,YY-536 PLASTIC BOTTLE,5,60,PCS,10.8,/PC,3240,7956,0,7956,0,11,55,,,,,,,,,
,YY-8005 PLASTIC BOTTLE,2,60,PCS,11.8,/PC,1416,,,,,14.8,29.6,,,,,,,,,
,YY-361 PLASTIC BOTTLE,2,60,PCS,6.9,/PC,828,,,,,9,18,,,,,,,,,
,YY-415 PLASTIC BOTTLE,2,60,PCS,8.8,/PC,1056,,,,,10.2,20.4,,,,,,,,,
,YY-8014 PLASTIC BOTTLE,2,60,PCS,11.8,/PC,1416,,,,,13.4,26.8,,,,,,,,,
F3-16468,ZF-008 STEEL BOTTLE,1,20,PCS,28.8,/PC,576,5806.4,0,5806.4,0,15.76,15.76,,,,,,,,,
,ZF-028 STEEL BOTTLE,1,50,PCS,19.8,/PC,990,,,,,16.25,16.25,,,,,,,,,
,ZF-001 STEEL BOTTLE,1,24,PCS,23.9,/PC,573.6,,,,,11.6,11.6,,,,,,,,,
,ZF-002 STEEL BOTTLE,1,24,PCS,24.9,/PC,597.6,,,,,13.5,13.5,,,,,,,,,
,ZF-047 STEEL BOTTLE,1,24,PCS,25.8,/PC,619.2,,,,,14.2,14.2,,,,,,,,,
,ZF-037 STEEL BOTTLE,1,40,PCS,21.8,/PC,872,,,,,17.3,17.3,,,,,,,,,
,ZF-038 STEEL BOTTLE,1,30,PCS,27.8,/PC,834,,,,,22.3,22.3,,,,,,,,,
,ZF-051 STEEL BOTTLE,1,30,PCS,24.8,/PC,744,,,,,13.2,13.2,,,,,,,,,
F3-16443,YQ-9206 PLASTIC BOTTLE,2,60,PCS,10.6,/PC,1272,3396,0,3396,0,12,24,,,,,,,,,
,QF8112 PLASTIC BOTTLE,2,60,PCS,7.3,/PC,876,,,,,11.9,23.8,,,,,,,,,
,S-2531-1 PLASTIC BOTTLE,2,60,PCS,10.4,/PC,1248,,,,,10.8,21.6,,,,,,,,,
GENERAL CARTONS,,93,GENERAL AMOUNT,,,,62101.4,GENERAL CBM,,0,GENERAL WEIGHT,,1385.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
￥62101.4/7.15=$8685.510,,,,,,,,,,,,,,,,,,,,,,
DEPOSIT:$3500(CASH),,,,,,,,,,,,,,,,,,,,,,
COMMISSION:($8685.51-$3500)*2%=$5185.51*2%=$103.7,,,,,,,,,,,,,,,,,,,,,,
SHIP:$3900+$750(INSPECTION)/68.78*10.024=$677.7,,,,,,,,,,,,,,,,,,,,,,
BALANCE:$5185.51+$667.7+$103.7=$5956.91,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
